3404
\ID	X	Y	Vx	Vy	Radius	Pressure
0	6.581196290361885	8.158552342636586	0.0	0.0	0.1	0.0
-1	1.3628102926972732	3.3354126538114306	0.0	0.0	0.007	0.0
1	4.0069954965603705	2.5838964965428786	0.0	0.0	0.1	0.0
-2	8.637189707302728	6.664587346188569	0.0	0.0	0.007	0.0
2	3.19273072716006	8.238026756404384	0.0	0.0	0.1	0.0
-3	1.3545328554218132	3.3536193338717317	0.0	0.0	0.007	0.0
3	5.507951607678153	1.8027753311884624	0.0	0.0	0.1	0.0
-4	8.645467144578188	6.646380666128268	0.0	0.0	0.007	0.0
4	3.456283919079614	7.899421576588571	0.0	0.0	0.1	0.0
-5	1.3463465546350997	3.3718671733629373	0.0	0.0	0.007	0.0
5	2.0746722515528493	4.848424105547444	0.0	0.0	0.1	0.0
-6	8.6536534453649	6.628132826637063	0.0	0.0	0.007	0.0
6	8.25648988174423	3.922891848893901	0.0	0.0	0.1	0.0
-7	1.338251594994226	3.39015571609001	0.0	0.0	0.007	0.0
7	8.370832445726625	4.819932262041873	0.0	0.0	0.1	0.0
-8	8.661748405005774	6.60984428390999	0.0	0.0	0.007	0.0
8	6.3639913915604565	7.506670557010549	0.0	0.0	0.1	0.0
-9	1.3302481788727611	3.4084845048403345	0.0	0.0	0.007	0.0
9	1.583631764622702	5.572704498361119	0.0	0.0	0.1	0.0
-10	8.669751821127239	6.5915154951596655	0.0	0.0	0.007	0.0
10	6.533195246982227	2.1365802997581587	0.0	0.0	0.1	0.0
-11	1.3223365063556924	3.426853081395147	0.0	0.0	0.007	0.0
11	5.678705100296238	1.5050970932059013	0.0	0.0	0.1	0.0
-12	8.677663493644307	6.573146918604853	0.0	0.0	0.007	0.0
12	2.814153615610004	5.356964403159548	0.0	0.0	0.1	0.0
-13	1.3145167752344196	3.4452609865409896	0.0	0.0	0.007	0.0
13	2.9599602311688433	6.7912335734677995	0.0	0.0	0.1	0.0
-14	8.68548322476558	6.55473901345901	0.0	0.0	0.007	0.0
14	8.43188910946171	6.377750199662676	0.0	0.0	0.1	0.0
-15	1.3067891810018137	3.463707760081193	0.0	0.0	0.007	0.0
15	7.716718363022379	3.3971386030484183	0.0	0.0	0.1	0.0
-16	8.693210818998185	6.536292239918807	0.0	0.0	0.007	0.0
16	8.163399306931854	2.961623564713077	0.0	0.0	0.1	0.0
-17	1.2991539168473283	3.482192940847379	0.0	0.0	0.007	0.0
17	3.0059644923450266	3.266071562729327	0.0	0.0	0.1	0.0
-18	8.700846083152673	6.517807059152621	0.0	0.0	0.007	0.0
18	5.436812711194765	7.516387556450702	0.0	0.0	0.1	0.0
-19	1.2916111736521696	3.500716066710991	0.0	0.0	0.007	0.0
19	7.66038356315384	5.45574499458526	0.0	0.0	0.1	0.0
-20	8.70838882634783	6.499283933289009	0.0	0.0	0.007	0.0
20	4.61348365194804	7.456228731025249	0.0	0.0	0.1	0.0
-21	1.2841611399845245	3.519276674594848	0.0	0.0	0.007	0.0
21	5.104294169509337	8.288802587748606	0.0	0.0	0.1	0.0
-22	8.715838860015475	6.480723325405152	0.0	0.0	0.007	0.0
22	1.982936698058266	3.4032648171978215	0.0	0.0	0.1	0.0
